Resp.nr;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14
118;4;5;4;5;4;4;1;1;1;5;5;5;5;4
119;4;3;3;4;4;5;3;2;3;4;3;4;5;3
120;4;2;4;2;2;4;2;2;2;4;4;4;4;4
121;4;4;4;4;4;3;1;1;1;3;3;4;4;4
122;3;3;4;4;4;4;2;2;2;5;5;5;4;5
123;3;3;4;4;4;4;4;4;4;4;3;4;4;4
124;4;4;4;4;4;4;2;3;2;4;4;4;4;3
125;2;4;3;2;2;2;2;2;2;5;4;5;5;2
126;3;4;3;4;3;3;2;1;2;4;4;5;5;3
127;4;4;3;5;5;3;4;1;4;5;5;5;4;3
128;3;3;2;4;5;4;4;4;5;5;4;4;4;3
129;3;3;3;3;3;4;4;3;3;4;4;5;5;4
130;3;3;3;4;4;4;3;3;3;4;5;4;3;4
131;1;3;2;3;4;3;1;5;5;5;5;5;5;5
132;3;4;3;3;2;4;3;2;3;4;4;4;5;3
133;5;5;5;5;5;5;1;1;1;5;5;5;5;5
134;4;4;4;3;4;3;3;2;3;4;4;4;4;4
135;4;3;3;5;4;4;3;2;3;5;5;5;5;4
136;2;2;4;2;2;4;1;1;1;5;5;5;5;5
137;5;4;4;5;5;5;2;2;2;5;5;5;5;5
138;4;5;4;4;4;4;1;2;1;4;5;5;4;4
139;4;4;4;4;3;4;2;1;1;5;5;5;4;5
140;4;4;4;5;4;3;1;2;2;5;4;5;4;3
141;4;3;4;5;5;5;3;3;3;5;5;5;5;3
142;4;3;3;3;4;4;3;3;3;5;4;5;4;3
143;4;4;3;4;3;4;2;2;3;5;5;5;5;5
144;4;4;4;2;5;4;2;2;3;4;3;4;4;4
145;5;4;3;4;4;4;1;1;1;4;4;4;4;4
146;4;3;4;4;4;4;4;4;4;5;5;5;5;3
147;3;3;2;1;1;1;4;4;4;5;5;5;5;5
148;3;3;4;4;4;4;3;3;3;4;3;5;3;4
149;4;3;3;3;3;3;4;4;4;5;5;5;5;5
150;1;1;2;1;1;1;5;4;4;5;5;5;4;5
151;4;4;4;4;4;4;2;2;2;5;5;5;5;5
152;4;5;4;4;4;4;3;3;3;4;4;5;5;4
153;4;4;4;4;3;4;2;2;2;4;3;4;4;3
154;4;3;5;4;5;4;1;2;2;5;5;5;5;4
155;2;2;1;2;2;2;4;4;4;4;4;4;4;2
156;4;4;4;5;4;4;1;1;2;5;3;5;4;3
157;4;4;4;3;3;3;2;2;2;4;5;4;5;5
158;2;3;2;5;5;5;2;2;3;5;5;4;4;3
159;4;5;4;4;4;4;4;1;1;4;4;4;5;3
160;4;3;4;4;4;4;4;1;2;4;4;4;3;2
161;4;3;3;4;4;4;3;3;3;5;5;5;5;5
163;3;3;3;4;3;3;3;4;4;3;3;4;4;4
164;4;4;3;4;4;3;1;2;2;5;5;5;5;4
165;5;4;4;4;2;3;1;1;2;4;4;5;5;3
166;3;4;4;4;4;4;2;2;2;5;4;5;5;5
